,speech
236," Se recibió del Congreso del Estado de Veracruz, iniciativa con proyecto de decreto por el que se reforma el inciso e) del numeral 2 del artículo 32 de la Ley General de Instituciones y Procedimientos Electorales."
237," Túrnese a la Comisión de Gobernación, para dictamen."
238," Se informa a la asamblea que se encuentra publicada en la Gaceta Parlamentaria y disponible en el monitor de sus curules, la minuta con vencimiento de plazo con proyecto de decreto por el que se expide la Ley Federal de Remuneraciones de los Servidores Públicos, Reglamentaria de los Artículos 75 y 127 de la Constitución Política de los Estados Unidos Mexicanos y se adiciona el Código Penal Federal. Es cuanto, señor
presidente."
239," Con fundamento en lo dispuesto por los artículos 184, numeral 1, y 95, numeral 2, fracción II, del Reglamento de la Cámara de Diputados, se cumple la declaratoria de publicidad, a efecto de que esta minuta sea puesta a discusión y votación el próximo jueves 13 de septiembre."
240,(desde la curul): Presidente.
241," ¿Con qué objeto, ciudadana diputada? ¿Con qué objeto? Ya se le había concedido al anterior diputado el uso de la palabra. Diputada. Micrófono, por favor."
242,"(desde la curul): Solamente hacerle la aclaración. Está usted enviando todas estas iniciativas, todos estos documentos a ciertas comisiones. ¿Por quién están presididas? ¿Quiénes las integran? ¿Qué Junta de Coordinación Política? Si no se ha formado ninguna Junta de Coordinación Política, señor presidente."
243," A todo asunto que se transmite a esta Mesa debe legalmente recaer un trámite. Esta situación se ha presentado en todas legislaturas, porque tardan 30 días en formarse las comisiones, así lo dispone la ley. Luego, tienen 20 días para dictaminar."
244,(desde la curul): Presidente.
245," Dígame, Rosario."
246,"(desde la curul): Sí, solamente aclararle que ya quisiéramos nosotros ver conformada la Junta de Coordinación Política. Ojalá y sea de manera democrática. Ojalá exista un equilibrio en esta legislatura."
247," Compañera, los órganos de la Cámara se están formando en los plazos legales y según entendemos quedará formalmente constituida la Junta de Coordinación Política el próximo jueves. Muchas gracias."
248,(desde la curul): Presidente.
249," Con mucho gusto, su nombre, por favor."
250,(desde la curul): María Rosete.
251, ¿De qué partido?
252,(desde la curul): Encuentro Social.
253," Me da mucho gusto. No la escucho, sonido para la diputada."
254,"(desde la curul): Sí, con base en la fracción II, del numeral 1, del artículo 6o. del Reglamento de la Cámara de Diputados, solamente para manifestar la proposición con punto de acuerdo, con respecto a varias peticiones de hombres y mujeres que trabajan ejerciendo una actividad autosustentable en el espacio público, en concreto, comerciantes en la vía pública que enfrentan diariamente situaciones adversas entre abusos de autoridad,
detenciones arbitrarias, despojos, cobro de cuotas o multas y fabricación de delitos, en los que se les involucra para justificarse y someterlos al escrutinio de la opinión pública."
255," Me permite, señora diputada, este asunto corresponde a asuntos generales."
256,"(desde la curul): Nada más quisiera concluir, por favor, presidente."
257," Con mucho gusto, no hay un tema a discusión."
258,"(desde la curul): Lo anterior, porque aquí hay personas que vinieron a manifestar esta preocupación."
259," Claro, las vamos a atender."
260,"(desde la curul): Por eso quisiera yo terminar, quisiera yo por favor continuar."
261," Pero no está en el orden del día, señora."
262,"(desde la curul): No voy a tardar, solamente un minuto, presidente, por favor se lo pido."
263, Tárdese un minuto.
264,"(desde la curul): Ante las dificultades de acceder o renovar permisos, los hace vulnerables al abuso o los decomisos y extorsiones."
265, Su minuto ha terminado.
266,(desde la curul): Termino. La transformación de las políticas públicas se legisla escuchando a los que no han tenido voz.
267," Concluya, por favor."
268,(desde la curul): Gracias. Es cuanto.
269, Gracias a usted.
270, (desde la curul): Una moción de orden.
271," No hay desorden. No hay moción de orden cuando no hay desorden, a no ser que usted lo vaya a crear. No hay moción de orden porque no hay desorden, a no ser que usted lo vaya a crear."
272," Honorable asamblea, esta Presidencia, con fundamento en lo que establece el artículo 24, numeral 1 del Reglamento de la Cámara de Diputados declara que han sido constituidos los siguientes grupos parlamentarios para la LXIV Legislatura: Grupo Parlamentario de Morena. Grupo Parlamentario del Partido Acción Nacional, del Grupo Parlamentario del Partido Revolucionario Institucional, del Grupo Parlamentario del Partido
Encuentro Social, del Grupo Parlamentario del Partido del Trabajo, del Grupo Parlamentario de Movimiento Ciudadano, del Grupo Parlamentario del Partido de la Revolución Democrática, del Grupo Parlamentario del Partido Verde Ecologista de México. Además, dos diputados sin partido. "
273,(desde la curul): Presidente.
274,"Tiene la palabra por diez minutos el... Diputado Preciado. ¿Con qué objeto, señor diputado?"
275,"(desde la curul): Solo para que nos ampliara la información sobre grupos parlamentarios, porque es fundamental el número de diputados que tenga cada grupo para la constitución de la Junta de Coordinación Política y los demás órganos de la Cámara."
276," Me informa la Secretaría que lo que estamos declarando es la constitución de los grupos. El número y los nombres serán publicados el día 28, cuando se recoja toda la información. Porque después ya no habrá cambios ni se podrán crear nuevos grupos parlamentarios. Es en beneficio de los propios grupos."
277,(desde la curul): Presidente.
278,"Dígame, diputado."
279,"(desde la curul): El número de integrantes de cada grupo parlamentario es fundamental para la creación de los órganos antes del día 28, por eso sería importante para nosotros saber con cuántas firmas y yo creo que eso no debe tener mayor dificultad se registró cada grupo parlamentario para ser reconocido por la Mesa Directiva."
280," Bueno, son dos asuntos. Se da un mes para creación de las comisiones, porque entendemos todos que debe ser equitativa y proporcional entre los distintos grupos parlamentarios. El número definitivo lo informará el secretario general de esta Cámara a la brevedad posible."
281, (desde la curul): Presidente.
282," Dígame, diputada Verónica Juárez."
283," (desde la curul): Con su permiso, señor presidente. Para informarle que el 29 de septiembre precisamente se dio la constitución conforme a nuestra norma de los grupos parlamentarios y se dio cuenta en esta misma sala, que al Grupo Morena le corresponderían, según los datos que tenemos, 247. PAN, 80. PRI, 47."
284, Así es.
285," (desde la curul): PES, 31. PT, 29. MC, 28. PRD, 20. Partido Verde, 16. Y 2 diputados independientes. "
286," Esos son los datos de la sesión inaugural. Se publicará en la Gaceta Parlamentaria, los datos, nombres y todas las características de cada grupo. Muchas gracias. Tiene la palabra por diez minutos..."
287,(desde la curul): Presidente.
288, Tiene usted la palabra.
289,(desde la curul): Gracias. Muy amable. Siendo reiterativo. Es muy importante para la conformación de las comisiones saber el número. No creo que nos cueste mucho darnos el respeto de darnos cuál es la cantidad de legisladores por cada grupo parlamentario que usted está reconociendo. Creo que debemos tener esos números para que sea realmente justa y equitativa la distribución de las comisiones. Es cuanto.
290," Ya la conformación se dio a conocer, y con base a ella empezará la constitución de las comisiones del Congreso. Cualquier cambio que haya se les notificará. Ya fue declarada por la Secretaría el número registrado hasta la fecha de la constitución de la Cámara y conforme a ese vamos a trabajar."
291,(desde la curul): Presidente.
292," Perdónenme, debo dar curso a la sesión. No hay tema a discusión, ya se aclaró reiteradamente. Dígame."
293,"(desde la curul): Solicito el uso de la palabra sólo para pedirle que con fundamento en el artículo 26 de la Ley Orgánica de este Congreso, se establece en el numeral 3 que en la primera sesión ordinaria de la Legislatura cada grupo parlamentario, de conformidad con lo que dispone la ley, entrega a la Secretaría General la documentación siguiente."
294," Mire, no sé si he sido claro, y si no lo fui les ruego una disculpa. El plazo fenece hoy tenemos todo el día. Y no todos los grupos parlamentarios han entregado su documentación."
295," Tiene la palabra por diez minutos el diputado Pablo Gómez Álvarez, del Grupo Parlamentario de Morena, para presentar iniciativa con proyecto de decreto que reforma y adiciona diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos en materia de inmunidad de servidores públicos."
296,"Gracias, diputado presidente. Ciudadanas y ciudadanos diputados, en nombre del Grupo Parlamentario de Morena presento una iniciativa con aval de grupo, con el propósito de reformar y adicionar los artículos 38, 61, 74, 108, 111 y 112 de la Constitución Política."
297," Túrnese a la Comisión de Puntos Constitucionales, para su dictamen."
298, (desde la curul): Presidente.
299," Con mucho gusto. ¿Para qué o con qué objeto, señora diputada?"
300," (desde la curul): Presidente, quiero pedirle justamente, antes de que le dé turno, que reconsideren la presentación de la iniciativa, en virtud de que se encuentran en el Senado de la República minutas justo con respecto a este tema."
301," Le agradezco muchísimo su información, señora diputada. Efectivamente, hay en el Senado, se me informa, dos minutas que no están dictaminadas, una de ellas del propio diputado Pablo Gómez. Como no la dictaminan allá, él está en todo su derecho de presentarla aquí."
302,(desde la curul): Presidente.
303," Si es relativo al turno que se ha dado, con mucho gusto, señor diputado. Con mucho gusto, señor diputado, tiene usted la palabra."
304,"(desde la curul): Muchas gracias, diputado presidente, es relativo al turno, efectivamente. Yo quisiera sumarme a la petición de la diputada que me antecedió en el uso de la palabra porque, como bien lo dice, se va a abrir la discusión sobre el tema y considero un error grave retirarle el fuero al presidente de la República."
